"fileid","filenames","treatment"
1,"ko15.CDF","KO"
2,"ko16.CDF","KO"
3,"ko18.CDF","KO"
4,"ko19.CDF","KO"
5,"ko21.CDF","KO"
6,"ko22.CDF","KO"
7,"wt15.CDF","WT"
8,"wt16.CDF","WT"
9,"wt18.CDF","WT"
10,"wt19.CDF","WT"
11,"wt21.CDF","WT"
12,"wt22.CDF","WT"
